jyo_cd,distance_m,surface,cluster,track_cd
4,1600,0,0,12
4,1800,0,0,12
5,1400,0,0,11
5,1600,0,0,11
5,1800,0,0,11
7,1600,0,0,11
8,1400,0,0,18
8,1600,0,0,18
8,1800,0,0,18
9,1600,0,0,18
9,1800,0,0,18
1,2600,0,1,17
2,2600,0,1,17
3,2600,0,1,17
6,2500,0,1,17
8,3000,0,1,18
10,2600,0,1,17
1,1500,0,2,17
1,1800,0,2,17
1,2000,0,2,17
2,1800,0,2,17
2,2000,0,2,17
3,1800,0,2,17
3,2000,0,2,17
4,2000,0,2,11
4,2400,0,2,11
6,1600,0,2,18
6,1800,0,2,17
6,2000,0,2,17
6,2200,0,2,18
8,1600,0,2,17
8,2000,0,2,17
9,2000,0,2,17
10,1800,0,2,17
10,2000,0,2,17
1,1200,0,3,17
2,1200,0,3,17
3,1200,0,3,17
4,1200,0,3,11
4,1400,0,3,11
6,1200,0,3,18
7,1200,0,3,11
7,1400,0,3,11
8,1200,0,3,17
8,1400,0,3,17
9,1200,0,3,17
9,1400,0,3,17
10,1200,0,3,17
4,2000,0,4,12
4,2200,0,4,11
5,2000,0,4,11
5,2300,0,4,11
5,2400,0,4,11
5,2500,0,4,11
7,2000,0,4,11
7,2200,0,4,11
8,2200,0,4,18
8,2400,0,4,18
9,2200,0,4,17
9,2400,0,4,18
9,2600,0,4,18
5,1300,1,5,23
5,1400,1,5,23
5,1600,1,5,23
4,1800,1,6,23
7,1800,1,6,23
7,1900,1,6,23
8,1800,1,6,24
8,1900,1,6,24
9,1800,1,6,24
9,2000,1,6,24
4,1200,1,7,23
6,1200,1,7,24
7,1200,1,7,23
8,1200,1,7,24
9,1200,1,7,24
5,2100,1,8,23
10,2400,1,8,24
1,1700,1,9,24
2,1700,1,9,24
3,1700,1,9,24
6,1800,1,9,24
10,1700,1,9,24
7,1400,1,10,23
8,1400,1,10,24
9,1400,1,10,24
1,1000,1,11,24
2,1000,1,11,24
10,1000,1,11,24
1,2400,1,12,24
3,2400,1,12,24
6,2400,1,12,24
