jyo_cd,jyo_name,surface,surface_name,track_cd,track_cd_label,turn_direction,turn_direction_cd,course_variant,straight_distance_m,elevation_diff_m,has_slope,has_homestretch_slope,has_uphill_finish,slope_feature_ja,source_url
1,札幌,0,turf,17,turf_right,right,1,single,266.1,0.7,false,false,false,ほぼ平坦で丸みのあるコース,https://www.jra.go.jp/facilities/race/sapporo/course/index.html
1,札幌,1,dirt,24,dirt_right,right,1,single,264.3,0.9,false,false,false,ほぼ平坦で丸みのあるコース,https://www.jra.go.jp/facilities/race/sapporo/course/index.html
2,函館,0,turf,17,turf_right,right,1,single,262.1,3.5,true,false,false,3から4コーナーに丘があり直線は緩やかな下り,https://www.jra.go.jp/facilities/race/hakodate/course/
2,函館,1,dirt,24,dirt_right,right,1,single,260.3,3.5,true,false,false,3から4コーナーに丘があり直線は緩やかな下り,https://www.jra.go.jp/facilities/race/hakodate/course/
3,福島,0,turf,17,turf_right,right,1,single,292.0,1.9,true,true,true,1周で2回アップダウンし直線残り170m付近から上る,https://www.jra.go.jp/facilities/race/fukushima/course/
3,福島,1,dirt,24,dirt_right,right,1,single,295.7,2.1,true,true,true,1周で2回アップダウンする,https://www.jra.go.jp/facilities/race/fukushima/course/
4,新潟,0,turf,10,turf_straight,straight,3,straight,1000.0,,false,false,false,日本唯一の芝直線コース,https://www.jra.go.jp/facilities/race/niigata/course/index.html
4,新潟,0,turf,11,turf_left,left,2,inner,358.7,0.8,false,false,false,内回りで高低差は小さく直線はほぼ平坦,https://www.jra.go.jp/facilities/race/niigata/course/index.html
4,新潟,0,turf,12,turf_left_outer,left,2,outer,658.7,2.2,true,false,false,外回りで3から4コーナーに緩やかな下りがある,https://www.jra.go.jp/facilities/race/niigata/course/index.html
4,新潟,1,dirt,23,dirt_left,left,2,single,353.9,0.6,false,false,false,高低差は小さく直線はほぼ平坦,https://www.jra.go.jp/facilities/race/niigata/course/index.html
5,東京,0,turf,11,turf_left,left,2,single,525.9,2.7,true,true,true,2つの坂がありゴール前にも上り坂がある,https://www.jra.go.jp/facilities/race/tokyo/course/index.html
5,東京,1,dirt,23,dirt_left,left,2,single,501.6,2.5,true,true,true,2つの坂がありゴール前にも上り坂がある,https://www.jra.go.jp/facilities/race/tokyo/course/index.html
6,中山,0,turf,17,turf_right,right,1,inner,310.0,5.3,true,true,true,内回りでJRA最大高低差かつゴール前急坂,https://www.jra.go.jp/facilities/race/nakayama/course/
6,中山,0,turf,18,turf_right_outer,right,1,outer,310.0,5.3,true,true,true,外回りでもJRA最大高低差かつゴール前急坂,https://www.jra.go.jp/facilities/race/nakayama/course/
6,中山,0,turf,21,turf_right_inner_2laps,right,1,inner_2laps,310.0,5.3,true,true,true,内2周の特殊長距離設定でゴール前急坂,https://www.jra.go.jp/facilities/race/nakayama/course/
6,中山,1,dirt,24,dirt_right,right,1,single,308.0,4.5,true,true,true,ゴール前急坂がある,https://www.jra.go.jp/facilities/race/nakayama/course/
7,中京,0,turf,11,turf_left,left,2,single,412.5,3.5,true,true,true,直線入口に急坂がある,https://www.jra.go.jp/facilities/race/chukyo/course/
7,中京,1,dirt,23,dirt_left,left,2,single,410.7,3.4,true,true,true,直線入口に急坂がある,https://www.jra.go.jp/facilities/race/chukyo/course/
8,京都,0,turf,17,turf_right,right,1,inner,328.4,3.1,true,false,false,内回りで3コーナーの丘が特徴で直線は平坦,https://www.jra.go.jp/facilities/race/kyoto/course/
8,京都,0,turf,18,turf_right_outer,right,1,outer,403.7,4.3,true,false,false,外回りで3コーナーの丘が特徴で直線は平坦,https://www.jra.go.jp/facilities/race/kyoto/course/
8,京都,1,dirt,24,dirt_right,right,1,single,329.1,3.0,true,false,false,3コーナーの丘が特徴で直線は平坦,https://www.jra.go.jp/facilities/race/kyoto/course/
9,阪神,0,turf,17,turf_right,right,1,inner,356.5,1.9,true,true,true,内回りでゴール前急坂がある,https://www.jra.go.jp/facilities/race/hanshin/course/
9,阪神,0,turf,18,turf_right_outer,right,1,outer,473.6,2.4,true,true,true,外回りで右回り最長級の直線とゴール前急坂がある,https://www.jra.go.jp/facilities/race/hanshin/course/
9,阪神,0,turf,20,turf_right_outer_to_inner,right,1,outer_to_inner,356.5,,true,true,true,外回りから内回りへ切り替わる特殊長距離設定でゴール前急坂がある,https://www.jra.go.jp/facilities/race/hanshin/course/
9,阪神,1,dirt,24,dirt_right,right,1,single,352.7,1.6,true,true,true,ゴール前急坂がある,https://www.jra.go.jp/facilities/race/hanshin/course/
10,小倉,0,turf,17,turf_right,right,1,single,293.0,3.0,true,false,false,2コーナーに丘があり直線に坂はない,https://www.jra.go.jp/facilities/race/kokura/course/
10,小倉,1,dirt,24,dirt_right,right,1,single,291.3,2.9,true,true,true,2コーナーの丘から直線にかけて緩やかな上りがある,https://www.jra.go.jp/facilities/race/kokura/course/
